id,x0,x1,x2,fitness7.5,fitness8,fitness8.5,fitness7,fitness6.5,fitness9,fitness6
47128,7.51963,6.8523,7.6509,NA,NA,NA,0.782,NA,NA,NA
47218,8.13688,7.88508,7.49712,NA,NA,0.875,NA,NA,NA,NA
47465,7.54409,7.26599,7.54613,NA,0.914,NA,NA,NA,NA,NA
47758,7.35467,7.69338,8.31429,NA,NA,NA,NA,NA,0.629,NA
47862,7.24799,8.01841,7.41381,NA,0.889,NA,NA,NA,NA,NA
48029,6.66393,7.98926,6.62085,NA,0.521,NA,NA,NA,NA,NA
48320,7.23912,8.19544,7.31219,NA,0.836,NA,NA,NA,NA,NA
48448,7.22672,8.12669,7.80949,NA,NA,0.837,NA,NA,NA,NA
48749,8.18849,8.03262,7.73879,NA,0.926,NA,NA,NA,NA,NA
48897,8.14014,8.3138,7.54884,NA,0.885,NA,NA,NA,NA,NA
49054,7.71029,7.95489,7.2546,0.939,NA,NA,NA,NA,NA,NA
49272,7.32472,8.06616,7.46365,NA,NA,NA,0.85,NA,NA,NA
49581,7.01267,8.32155,6.89762,0.653,NA,NA,NA,NA,NA,NA
49691,7.34413,7.97317,7.97487,0.943,NA,NA,NA,NA,NA,NA
49867,7.41072,7.04498,8.04774,0.864,NA,NA,NA,NA,NA,NA
50105,7.78158,7.26915,7.52844,0.935,NA,NA,NA,NA,NA,NA
50350,8.24896,8.43288,7.70802,NA,0.836,NA,NA,NA,NA,NA
50414,7.51707,7.47153,7.9035,NA,NA,NA,0.916,NA,NA,NA
50675,8.09406,8.28487,7.56302,0.903,NA,NA,NA,NA,NA,NA
50821,7.48622,8.21586,8.36234,NA,0.826,NA,NA,NA,NA,NA
51079,7.72269,8.11902,7.63324,NA,NA,0.902,NA,NA,NA,NA
51372,7.85669,7.61746,7.61232,NA,NA,0.841,NA,NA,NA,NA
51501,8.44624,7.86131,7.98412,0.882,NA,NA,NA,NA,NA,NA
51757,7.89421,8.25829,7.26562,0.893,NA,NA,NA,NA,NA,NA
51972,7.65742,8.33328,8.12159,0.887,NA,NA,NA,NA,NA,NA
52081,7.36221,7.64801,7.44348,NA,0.923,NA,NA,NA,NA,NA
52218,7.43286,7.62914,7.71436,NA,NA,0.83,NA,NA,NA,NA
52527,7.46146,8.07831,7.12458,NA,0.883,NA,NA,NA,NA,NA
52794,8.04315,7.71519,8.57715,0.847,NA,NA,NA,NA,NA,NA
52962,7.59856,8.05577,7.07113,0.862,NA,NA,NA,NA,NA,NA
53007,7.62121,8.34231,7.56464,NA,0.916,NA,NA,NA,NA,NA
53334,7.97731,8.4434,7.50208,NA,NA,0.822,NA,NA,NA,NA
53582,7.95969,8.38291,7.37478,NA,0.877,NA,NA,NA,NA,NA
53686,8.17926,7.5,7.38589,NA,NA,NA,0.868,NA,NA,NA
53985,8.42816,7.66766,7.60063,NA,NA,NA,0.847,NA,NA,NA
54160,8.31206,7.90689,8.14672,NA,0.875,NA,NA,NA,NA,NA
54241,7.33635,7.70299,7.56089,NA,0.947,NA,NA,NA,NA,NA
54559,7.77858,7.5445,7.55747,NA,0.986,NA,NA,NA,NA,NA
54697,8.32772,7.67846,8.04476,NA,NA,NA,0.827,NA,NA,NA
54854,7.10154,7.83195,8.43424,NA,NA,NA,0.701,NA,NA,NA
55163,7.5806,6.87445,7.99285,NA,NA,0.761,NA,NA,NA,NA
55251,6.58888,7.53825,7.62979,0.744,NA,NA,NA,NA,NA,NA
55573,8.11771,7.73816,7.37926,NA,NA,0.875,NA,NA,NA,NA
55690,7.53326,8.11326,7.9804,NA,0.945,NA,NA,NA,NA,NA
55964,7.81586,8.27108,7.84097,NA,NA,0.83,NA,NA,NA,NA
56135,8.45968,7.90968,7.81933,NA,0.887,NA,NA,NA,NA,NA
56255,7.6052,7.89333,7.69118,NA,0.978,NA,NA,NA,NA,NA
56485,7.69435,6.6257,7.21685,NA,NA,0.649,NA,NA,NA,NA
56799,7.52368,7.23193,7.45698,NA,0.912,NA,NA,NA,NA,NA
56928,7.15298,7.66967,6.88248,0.776,NA,NA,NA,NA,NA,NA
57167,8.18591,6.7527,7.00263,NA,0.66,NA,NA,NA,NA,NA
57333,7.30959,7.61705,7.49663,0.944,NA,NA,NA,NA,NA,NA
57556,7.47201,7.63848,7.89124,NA,0.973,NA,NA,NA,NA,NA
57699,8.01172,7.41792,7.81787,NA,NA,NA,0.878,NA,NA,NA
57878,7.94087,7.13564,7.58116,0.89,NA,NA,NA,NA,NA,NA
58183,7.28347,7.69496,6.87333,NA,0.8,NA,NA,NA,NA,NA
58317,8.51253,8.30462,7.67194,NA,0.805,NA,NA,NA,NA,NA
58461,7.58531,7.63503,8.32776,0.909,NA,NA,NA,NA,NA,NA
58672,6.94724,7.79661,7.59322,0.868,NA,NA,NA,NA,NA,NA
58909,6.76754,7.9745,7.29633,NA,0.717,NA,NA,NA,NA,NA
59118,7.65595,6.92481,7.23302,NA,0.802,NA,NA,NA,NA,NA
59276,7.33182,7.43539,7.87511,NA,0.945,NA,NA,NA,NA,NA
59528,8.19052,7.79123,8.2304,NA,0.863,NA,NA,NA,NA,NA
59654,7.85652,7.9121,8.35992,NA,0.905,NA,NA,NA,NA,NA
59843,7.91196,8.20364,7.77577,0.943,NA,NA,NA,NA,NA,NA
60084,8.19267,7.94925,7.8882,0.925,NA,NA,NA,NA,NA,NA
60250,7.11477,8.45838,7.67829,0.818,NA,NA,NA,NA,NA,NA
60403,7.5851,7.93161,7.84548,NA,0.954,NA,NA,NA,NA,NA
60761,7.76538,6.81894,8.17237,0.762,NA,NA,NA,NA,NA,NA
60860,7.64489,7.93377,7.81684,NA,0.982,NA,NA,NA,NA,NA
61091,7.65305,8.23402,7.58992,0.941,NA,NA,NA,NA,NA,NA
61367,7.27687,8.18674,8.61393,NA,0.774,NA,NA,NA,NA,NA
61495,7.14825,7.65597,7.85811,NA,NA,0.829,NA,NA,NA,NA
61660,7.98835,7.89497,8.25033,0.921,NA,NA,NA,NA,NA,NA
61877,7.39439,7.84634,7.52308,0.968,NA,NA,NA,NA,NA,NA
62054,7.40265,7.70603,7.8594,NA,NA,0.866,NA,NA,NA,NA
62235,7.818,7.49135,7.78272,0.974,NA,NA,NA,NA,NA,NA
62447,7.78022,7.3486,7.73046,NA,NA,NA,0.899,NA,NA,NA
62743,7.67619,7.56245,7.60936,0.989,NA,NA,NA,NA,NA,NA
62882,7.32983,8.13861,6.94658,0.803,NA,NA,NA,NA,NA,NA
63172,7.34245,7.93649,7.19718,NA,NA,NA,NA,0.699,NA,NA
63240,8.20874,8.06823,7.27591,NA,NA,NA,0.728,NA,NA,NA
63545,8.37708,7.99275,8.13112,NA,0.856,NA,NA,NA,NA,NA
63662,7.11682,7.77696,7.69539,NA,NA,0.773,NA,NA,NA,NA
63870,7.87787,7.52807,6.81354,NA,NA,NA,0.761,NA,NA,NA
64006,8.00398,7.99565,7.19831,NA,NA,NA,0.823,NA,NA,NA
64300,7.53698,7.98013,7.47073,NA,0.958,NA,NA,NA,NA,NA
64401,7.23961,7.81294,7.28167,0.911,NA,NA,NA,NA,NA,NA
64776,7.99277,8.22053,8.05383,0.906,NA,NA,NA,NA,NA,NA
64833,7.9653,8.02924,8.49204,NA,NA,0.791,NA,NA,NA,NA
65071,7.83686,8.18999,7.0527,NA,NA,0.801,NA,NA,NA,NA
65204,7.62793,7.57787,6.75315,NA,0.792,NA,NA,NA,NA,NA
65481,8.25227,8.46152,6.85131,NA,0.687,NA,NA,NA,NA,NA
65660,7.58047,7.41316,7.36793,NA,0.932,NA,NA,NA,NA,NA
65924,8.05163,7.83606,8.25888,NA,0.876,NA,NA,NA,NA,NA
66158,7.85462,8.32793,7.29773,0.845,NA,NA,NA,NA,NA,NA
66349,7.84684,8.01367,7.722,0.956,NA,NA,NA,NA,NA,NA
66539,8.83985,7.57925,8.04028,0.756,NA,NA,NA,NA,NA,NA
66683,7.72391,8.10491,8.62924,NA,0.779,NA,NA,NA,NA,NA
66891,7.53098,8.22491,8.30007,NA,0.875,NA,NA,NA,NA,NA
67106,7.36685,7.90105,8.06437,NA,0.911,NA,NA,NA,NA,NA
67269,7.3789,7.88853,8.12601,NA,0.926,NA,NA,NA,NA,NA
