id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness6.5,fitness9,fitness8.5,fitness9.5,fitness10,fitness6
50554,8.22153,7.49447,7.98875,NA,NA,NA,NA,NA,0.784,NA,NA,NA
50621,7.91059,8.0428,7.65173,NA,0.963,NA,NA,NA,NA,NA,NA,NA
50900,7.12142,8.21531,7.30857,0.767,NA,NA,NA,NA,NA,NA,NA,NA
51177,7.34063,7.08267,8.01341,NA,NA,NA,0.62,NA,NA,NA,NA,NA
51295,7.54281,6.89034,7.64436,0.754,NA,NA,NA,NA,NA,NA,NA,NA
51489,8.40499,7.57084,8.46798,NA,NA,NA,NA,NA,0.734,NA,NA,NA
51757,7.80587,7.43099,7.90312,NA,NA,NA,NA,0.684,NA,NA,NA,NA
51866,9.03062,7.59975,7.45497,NA,0.708,NA,NA,NA,NA,NA,NA,NA
52013,7.59705,7.62608,7.53478,NA,NA,NA,NA,NA,0.885,NA,NA,NA
52284,6.71595,7.4503,8.24837,NA,NA,NA,NA,NA,NA,0.346,NA,NA
52559,7.9687,7.57885,9.1007,NA,NA,0.693,NA,NA,NA,NA,NA,NA
52714,8.00366,7.16758,8.3824,NA,0.826,NA,NA,NA,NA,NA,NA,NA
52899,8.29813,7.15178,8.01026,0.785,NA,NA,NA,NA,NA,NA,NA,NA
53036,7.70311,8.64657,7.91685,0.713,NA,NA,NA,NA,NA,NA,NA,NA
53207,8.27048,7.82565,7.36724,NA,0.912,NA,NA,NA,NA,NA,NA,NA
53600,7.67962,8.02099,7.98828,NA,NA,NA,0.709,NA,NA,NA,NA,NA
53606,7.3156,9.60645,7.46117,0.457,NA,NA,NA,NA,NA,NA,NA,NA
53814,7.16481,8.98382,7.28187,NA,0.647,NA,NA,NA,NA,NA,NA,NA
54195,7.68194,7.90848,6.88782,NA,NA,NA,NA,NA,0.774,NA,NA,NA
54224,7.35196,7.6248,7.29438,NA,0.935,NA,NA,NA,NA,NA,NA,NA
54456,7.65757,8.09687,8.08172,NA,NA,NA,NA,0.699,NA,NA,NA,NA
54644,7.79479,7.7784,7.3497,0.904,NA,NA,NA,NA,NA,NA,NA,NA
54873,7.40724,7.90648,7.42796,NA,0.955,NA,NA,NA,NA,NA,NA,NA
55083,7.28645,7.77352,8.07588,NA,NA,NA,NA,NA,0.845,NA,NA,NA
55305,7.44238,6.92773,8.24018,NA,0.801,NA,NA,NA,NA,NA,NA,NA
55442,7.41261,7.94352,7.83418,NA,NA,0.916,NA,NA,NA,NA,NA,NA
55781,7.80303,7.88931,7.97354,NA,0.965,NA,NA,NA,NA,NA,NA,NA
55842,7.6498,7.73054,8.06039,NA,0.951,NA,NA,NA,NA,NA,NA,NA
56014,7.76148,8.36119,8.12355,0.833,NA,NA,NA,NA,NA,NA,NA,NA
56225,8.30797,7.9014,8.18209,0.829,NA,NA,NA,NA,NA,NA,NA,NA
56560,6.64013,7.45202,8.43923,NA,NA,0.65,NA,NA,NA,NA,NA,NA
56678,6.9247,7.68422,8.92144,NA,0.645,NA,NA,NA,NA,NA,NA,NA
56937,8.36326,8.49358,7.5798,NA,NA,0.808,NA,NA,NA,NA,NA,NA
57034,7.04941,8.44294,8.20796,NA,0.747,NA,NA,NA,NA,NA,NA,NA
57325,7.41207,7.6645,7.70506,0.869,NA,NA,NA,NA,NA,NA,NA,NA
57540,7.88204,8.80403,7.44595,0.738,NA,NA,NA,NA,NA,NA,NA,NA
57746,7.74518,8.01669,8.30604,NA,NA,0.872,NA,NA,NA,NA,NA,NA
57858,7.66051,8.50958,8.38416,NA,NA,NA,NA,0.563,NA,NA,NA,NA
58018,7.45717,7.69979,7.36274,NA,0.958,NA,NA,NA,NA,NA,NA,NA
58357,7.72162,7.69103,7.4179,NA,0.969,NA,NA,NA,NA,NA,NA,NA
58497,7.7488,7.70704,7.6784,NA,NA,0.957,NA,NA,NA,NA,NA,NA
58601,6.96981,7.67613,6.93706,NA,NA,0.758,NA,NA,NA,NA,NA,NA
58932,8.71989,8.43703,7.35093,NA,0.708,NA,NA,NA,NA,NA,NA,NA
59023,8.05363,8.00911,7.35044,NA,0.919,NA,NA,NA,NA,NA,NA,NA
