id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness9,fitness7,fitness8.5,fitness9.5,fitness6,fitness5
52565,7.95082,8.2528,7.52316,0.897,NA,NA,NA,NA,NA,NA,NA,NA
52737,8.70398,7.38211,8.03564,0.762,NA,NA,NA,NA,NA,NA,NA,NA
52854,8.27385,7.98526,7.88207,NA,NA,NA,NA,NA,0.837,NA,NA,NA
53089,7.08999,8.5607,8.19718,NA,NA,NA,NA,NA,0.681,NA,NA,NA
53357,8.73998,7.81416,8.10821,0.757,NA,NA,NA,NA,NA,NA,NA,NA
53425,8.76698,7.43713,8.21482,0.73,NA,NA,NA,NA,NA,NA,NA,NA
53674,7.93785,7.92504,7.74303,NA,NA,NA,NA,NA,0.894,NA,NA,NA
53976,7.35829,8.38401,7.71994,NA,0.876,NA,NA,NA,NA,NA,NA,NA
54053,6.97306,7.64376,6.66737,NA,0.664,NA,NA,NA,NA,NA,NA,NA
54229,7.47817,6.79565,7.41318,NA,0.778,NA,NA,NA,NA,NA,NA,NA
54453,8.05543,7.80835,6.7812,NA,NA,NA,NA,0.672,NA,NA,NA,NA
54615,7.44891,8.04223,6.88595,NA,NA,NA,NA,0.742,NA,NA,NA,NA
54881,8.41819,7.19457,6.56179,NA,NA,NA,NA,NA,0.443,NA,NA,NA
55062,8.50843,8.50772,6.92284,0.64,NA,NA,NA,NA,NA,NA,NA,NA
55389,8.43857,8.53723,7.39182,NA,0.756,NA,NA,NA,NA,NA,NA,NA
55452,7.24706,8.41254,8.36775,NA,0.744,NA,NA,NA,NA,NA,NA,NA
55675,7.41289,8.23141,7.85411,NA,0.914,NA,NA,NA,NA,NA,NA,NA
55871,8.8485,7.14635,7.26025,NA,0.686,NA,NA,NA,NA,NA,NA,NA
56063,8.16781,6.91834,8.62605,0.681,NA,NA,NA,NA,NA,NA,NA,NA
56352,7.74154,8.41124,7.48312,NA,NA,NA,NA,NA,0.729,NA,NA,NA
56463,7.37062,8.35272,7.54912,NA,NA,NA,NA,0.84,NA,NA,NA,NA
56763,7.97542,7.16773,8.38351,NA,NA,0.508,NA,NA,NA,NA,NA,NA
56910,7.91548,6.87003,7.9148,NA,NA,NA,NA,0.783,NA,NA,NA,NA
57055,6.82958,7.56475,7.08821,NA,NA,NA,NA,0.704,NA,NA,NA,NA
57398,7.08873,7.78132,6.90498,0.733,NA,NA,NA,NA,NA,NA,NA,NA
57524,7.80262,8.35056,7.57911,0.874,NA,NA,NA,NA,NA,NA,NA,NA
57687,9.13006,8.08922,7.28217,0.636,NA,NA,NA,NA,NA,NA,NA,NA
57934,7.94837,8.48272,7.39527,0.85,NA,NA,NA,NA,NA,NA,NA,NA
58129,7.99807,8.53308,8.04775,0.805,NA,NA,NA,NA,NA,NA,NA,NA
58253,7.85759,7.68248,6.64337,NA,0.731,NA,NA,NA,NA,NA,NA,NA
