id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
56912,-1.02548,5,5,NA,5892.342,NA,NA,NA
57128,-0.933259,5,5,NA,10389.392,NA,NA,NA
57262,-0.69596,5,4.7791,NA,14112.204,NA,NA,NA
57588,-1.42505,5,4.24597,NA,7282.564,NA,NA,NA
57753,-1.24402,5,5,NA,NA,315.674,NA,NA
57892,-0.728269,5,5,10212.268,NA,NA,NA,NA
58120,-1.3889,4.2762,4.99275,NA,7515.941,NA,NA,NA
58346,-1.84975,4.67443,5,1386.105,NA,NA,NA,NA
58597,-2.18316,5,5,NA,2943.851,NA,NA,NA
58787,-1.53256,4.38988,5,NA,6339.124,NA,NA,NA
58927,-1.09908,5,4.88005,NA,2461.544,NA,NA,NA
59149,-1.14224,5,4.16031,NA,617.665,NA,NA,NA
59234,-1.92749,5,3.76273,NA,2055.344,NA,NA,NA
59551,-1.5559,5,4.25887,NA,5914.557,NA,NA,NA
59619,-1.90134,5,5,NA,4373.445,NA,NA,NA
59902,-2.17176,5,4.90216,NA,4199.926,NA,NA,NA
60173,-0.743702,4.8784,5,NA,16670.14,NA,NA,NA
60331,-1.04653,4.77881,4.77035,NA,9285.897,NA,NA,NA
60458,-0.646142,5,5,NA,9663.422,NA,NA,NA
60604,-0.0857351,4.31053,5,NA,3982.114,NA,NA,NA
60816,-0.758468,5,5,NA,16891.304,NA,NA,NA
61040,-0.906881,5,5,12832.195,NA,NA,NA,NA
61297,-0.847856,4.91412,5,NA,16270.286,NA,NA,NA
61413,-0.541144,4.86087,4.80662,NA,7822.436,NA,NA,NA
61765,-0.978029,5,5,NA,8415.853,NA,NA,NA
61856,-0.725715,5,5,NA,16183.662,NA,NA,NA
62076,-2.06592,4.92204,5,3299.966,NA,NA,NA,NA
62253,-0.922412,4.57591,5,NA,3614.429,NA,NA,NA
62597,-0.528952,4.97986,5,NA,4226.687,NA,NA,NA
