id,x0,x1,x2,fitness8,fitness7,fitness8.5,fitness6.5,fitness7.5,fitness9,fitness9.5
59722,7.69636,7.44321,8.80328,NA,NA,NA,NA,0.752,NA,NA
59816,7.56796,8.24564,8.02086,0.9,NA,NA,NA,NA,NA,NA
60138,7.49598,7.73682,7.8081,NA,0.913,NA,NA,NA,NA,NA
60320,7.77227,8.17565,9.32814,NA,NA,NA,NA,0.623,NA,NA
60533,7.62128,6.95934,7.01076,0.723,NA,NA,NA,NA,NA,NA
60710,8.10416,7.19059,7.93108,NA,0.826,NA,NA,NA,NA,NA
60974,7.84803,7.87984,7.43515,NA,NA,NA,NA,0.966,NA,NA
61100,7.58346,7.82484,9.26686,0.627,NA,NA,NA,NA,NA,NA
61384,7.3627,7.8108,8.10987,NA,NA,NA,NA,0.922,NA,NA
61592,7.70836,8.94167,7.36838,0.743,NA,NA,NA,NA,NA,NA
61635,7.42253,7.86343,8.02305,0.944,NA,NA,NA,NA,NA,NA
61887,8.26321,7.20655,7.51241,NA,NA,NA,NA,0.852,NA,NA
62117,8.21736,7.96062,7.43199,NA,NA,NA,NA,0.921,NA,NA
62365,7.5423,8.65363,7.00077,0.731,NA,NA,NA,NA,NA,NA
62572,7.70915,8.27565,8.11038,NA,NA,0.79,NA,NA,NA,NA
62792,8.24526,8.13244,7.9078,NA,0.811,NA,NA,NA,NA,NA
62933,7.64317,8.26623,7.6353,NA,NA,NA,NA,0.939,NA,NA
63067,7.90975,8.00582,6.93538,0.839,NA,NA,NA,NA,NA,NA
63248,7.68471,7.71764,7.41912,NA,NA,NA,NA,0.946,NA,NA
63401,7.97841,7.7434,7.94185,NA,NA,NA,NA,0.974,NA,NA
63784,7.40918,8.20622,7.53997,NA,NA,0.848,NA,NA,NA,NA
63957,8.40986,7.65037,8.46884,NA,NA,NA,NA,0.807,NA,NA
64075,7.89288,7.4415,7.5161,NA,NA,NA,NA,0.966,NA,NA
64270,8.41473,7.75468,8.03156,NA,NA,NA,NA,0.867,NA,NA
64539,7.61866,8.2599,7.67764,0.896,NA,NA,NA,NA,NA,NA
64795,7.21723,8.06159,7.77416,NA,0.846,NA,NA,NA,NA,NA
64898,7.44873,7.61496,8.6524,0.83,NA,NA,NA,NA,NA,NA
65042,6.48937,7.55644,7.79708,0.705,NA,NA,NA,NA,NA,NA
65398,7.087,7.85626,7.69045,NA,NA,NA,NA,0.913,NA,NA
65570,6.82879,7.76025,7.50163,NA,0.666,NA,NA,NA,NA,NA
65611,8.44809,7.71996,8.05045,NA,0.812,NA,NA,NA,NA,NA
65835,8.43676,7.72782,7.28105,0.857,NA,NA,NA,NA,NA,NA
66019,8.25199,6.89207,8.52945,NA,NA,NA,NA,0.677,NA,NA
66379,8.28327,7.58164,7.52603,0.924,NA,NA,NA,NA,NA,NA
66453,7.47862,7.90458,7.2731,0.939,NA,NA,NA,NA,NA,NA
66690,7.65336,7.53081,7.29158,NA,NA,NA,NA,0.929,NA,NA
66999,7.60195,7.97477,7.35178,NA,NA,NA,NA,0.951,NA,NA
67054,7.73679,7.45152,7.55425,0.95,NA,NA,NA,NA,NA,NA
67372,7.91106,8.00445,7.89068,0.963,NA,NA,NA,NA,NA,NA
67420,8.43893,7.79402,8.4825,NA,NA,NA,NA,0.796,NA,NA
67663,8.26288,7.22882,8.1423,NA,NA,NA,NA,0.848,NA,NA
67906,8.44458,7.33997,7.56482,NA,NA,NA,NA,0.841,NA,NA
68113,7.92542,8.04612,7.40633,0.937,NA,NA,NA,NA,NA,NA
68288,7.46316,8.28315,8.27186,NA,NA,NA,NA,0.854,NA,NA
