id,x0,x1,x2,fitness-3,fitness-3.5,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-4.5,fitness-5,fitness-0.5
51592,1.77904,1.96598,-5,NA,NA,NA,-16.155,NA,NA,NA,NA,NA,NA
51623,1.31482,1.8165,-4.83439,-23.105,NA,NA,NA,NA,NA,NA,NA,NA,NA
51902,1.971,1.97603,-4.23282,NA,NA,NA,-5.47,NA,NA,NA,NA,NA,NA
52163,2.80263,1.74488,-4.1668,NA,NA,NA,-29.047,NA,NA,NA,NA,NA,NA
52294,2.34362,1.35835,-4.86546,NA,NA,NA,NA,-29.424,NA,NA,NA,NA,NA
52406,2.30991,2.10345,-4.65385,NA,NA,NA,NA,NA,-34.387,NA,NA,NA,NA
52746,2.74167,1.42176,-4.80527,NA,NA,NA,-32.234,NA,NA,NA,NA,NA,NA
52944,3.0766,2.104,-4.51402,-49.215,NA,NA,NA,NA,NA,NA,NA,NA,NA
53136,2.40885,1.18161,-4.25232,NA,NA,NA,-20.309,NA,NA,NA,NA,NA,NA
53311,1.49873,2.23739,-4.05357,NA,NA,NA,NA,-27.572,NA,NA,NA,NA,NA
53460,1.03624,2.10507,-4.77566,NA,NA,NA,NA,NA,-40.413,NA,NA,NA,NA
53706,1.18188,2.57401,-5,NA,NA,NA,NA,-45.862,NA,NA,NA,NA,NA
53963,2.28124,2.99858,-4.44496,-49.421,NA,NA,NA,NA,NA,NA,NA,NA,NA
54095,2.69746,2.78763,-4.77426,-61.592,NA,NA,NA,NA,NA,NA,NA,NA,NA
54344,1.97439,2.36575,-4.83103,NA,NA,-59.666,NA,NA,NA,NA,NA,NA,NA
