id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9.5,fitness9,fitness6.5
61416,8.1563,8.33982,7.96172,NA,NA,0.855,NA,NA,NA,NA
61700,8.10216,7.82177,7.19854,NA,NA,NA,0.811,NA,NA,NA
61890,7.43193,7.90452,7.94823,NA,0.938,NA,NA,NA,NA,NA
62141,7.45311,7.31242,7.68324,NA,NA,0.943,NA,NA,NA,NA
62362,7.63333,7.16408,7.94106,NA,0.921,NA,NA,NA,NA,NA
62464,7.36998,7.58615,7.16754,NA,0.891,NA,NA,NA,NA,NA
62742,7.47288,7.55556,7.73421,NA,NA,NA,0.9,NA,NA,NA
62938,8.22675,7.23019,8.06583,NA,NA,0.827,NA,NA,NA,NA
63153,8.32347,7.99019,8.38521,NA,NA,0.799,NA,NA,NA,NA
63255,7.88667,8.44583,8.83605,NA,0.651,NA,NA,NA,NA,NA
63487,7.23214,7.88054,8.0609,NA,NA,0.888,NA,NA,NA,NA
63725,8.03182,8.51096,7.42784,NA,NA,NA,0.74,NA,NA,NA
63873,7.98682,7.9622,7.79334,NA,0.959,NA,NA,NA,NA,NA
64137,7.67084,7.17673,6.83243,NA,NA,0.777,NA,NA,NA,NA
64370,8.05085,8.39006,7.5103,NA,NA,NA,0.773,NA,NA,NA
64431,8.14456,7.97349,8.11546,NA,0.914,NA,NA,NA,NA,NA
64773,7.52685,7.87477,7.23361,NA,0.903,NA,NA,NA,NA,NA
64846,7.50745,7.84404,7.69476,NA,0.987,NA,NA,NA,NA,NA
65030,7.83977,8.37336,8.25951,NA,NA,0.857,NA,NA,NA,NA
65245,8.6676,8.00083,8.32498,NA,0.758,NA,NA,NA,NA,NA
65413,8.44101,8.63527,8.15034,0.655,NA,NA,NA,NA,NA,NA
65676,7.50645,7.31273,8.1224,NA,0.903,NA,NA,NA,NA,NA
65959,7.41397,7.30593,9.14686,NA,NA,0.644,NA,NA,NA,NA
66101,7.4344,7.57774,8.49807,NA,NA,0.866,NA,NA,NA,NA
66270,7.39001,7.63776,7.34436,NA,NA,0.903,NA,NA,NA,NA
66409,7.20638,7.99372,7.31009,NA,0.862,NA,NA,NA,NA,NA
66786,7.73737,8.70511,7.68375,NA,NA,0.828,NA,NA,NA,NA
66945,7.6937,8.23484,7.59478,NA,0.944,NA,NA,NA,NA,NA
67009,7.82406,7.56217,7.32843,NA,0.954,NA,NA,NA,NA,NA
67361,8.10844,7.46611,7.29502,NA,0.915,NA,NA,NA,NA,NA
67561,7.37389,8.03527,7.30031,NA,NA,NA,NA,NA,0.724,NA
67799,8.09641,7.31092,7.43512,NA,0.882,NA,NA,NA,NA,NA
67847,7.77658,7.90177,6.73705,NA,0.796,NA,NA,NA,NA,NA
68128,7.52412,7.39404,8.10849,NA,NA,0.907,NA,NA,NA,NA
68213,8.39797,7.81682,7.90243,NA,0.897,NA,NA,NA,NA,NA
