id,x0,x1,x2,fitness5,fitness4,fitness3.5,fitness4.5,fitness6,fitness7,fitness7.5,fitness10,fitness9,fitness10.5,fitness8.5,fitness8,fitness6.5,fitness9.5,fitness3,fitness2.5,fitness5.5,fitness2
32068,6.26524,7.98816,9.047,NA,NA,NA,NA,NA,NA,NA,NA,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA
32348,6.56499,7.27981,9.64992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,NA,NA
32447,7.64686,5.70327,8.1145,NA,NA,NA,NA,NA,NA,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32602,7.93051,5.98313,8.23928,NA,NA,NA,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32947,8.94534,7.36046,8.00307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472,NA,NA,NA,NA,NA
33045,9.70288,8.42918,6.90694,NA,NA,NA,NA,NA,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33327,7.89542,7.90007,7.11127,NA,NA,NA,NA,NA,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33476,6.62346,8.37736,6.5848,NA,NA,NA,NA,NA,NA,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33630,6.97928,7.12806,5.50137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA
33974,6.75595,6.99154,4.99873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346,NA,NA,NA,NA,NA,NA
34016,7.48686,6.94632,6.29936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507,NA,NA,NA,NA,NA,NA
34286,7.67858,8.4169,5.69043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386,NA,NA,NA,NA,NA,NA
34599,6.84665,7.62177,7.76808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836,NA,NA,NA,NA,NA,NA
34659,7.67855,7.09886,9.24205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521,NA,NA,NA,NA,NA,NA,NA
34968,7.50588,7.63239,7.94813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893,NA,NA,NA,NA,NA,NA,NA
35190,7.60278,7.74519,8.76037,NA,NA,NA,NA,NA,NA,0.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35278,6.414,5.07233,8.76957,NA,NA,NA,NA,NA,-0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35405,7.28017,5.17452,8.51668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.064,NA
35623,7.62727,5.67928,9.60325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.175,NA,NA,NA,NA,NA
35852,7.21416,6.91093,9.09069,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36017,7.01834,7.77103,9.91158,NA,NA,NA,NA,NA,NA,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36219,5.25686,7.87887,9.52405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166,NA,NA,NA,NA,NA,NA
