id,x0,x1,x2,fitness-2.5,fitness-3,fitness-2,fitness-3.5,fitness-1.5,fitness-4,fitness-1
50870,1.19995,2.50236,-5,NA,NA,-39.28,NA,NA,NA,NA
51190,1.8749,2.46755,-5,NA,NA,NA,-39.347,NA,NA,NA
51317,2.13391,1.72496,-5,NA,-22.367,NA,NA,NA,NA,NA
51402,1.94618,1.30047,-5,NA,NA,-28.135,NA,NA,NA,NA
51775,2.26117,2.0676,-4.51299,-13.013,NA,NA,NA,NA,NA,NA
51975,1.73983,2.6281,-4.94742,NA,-34.103,NA,NA,NA,NA,NA
52192,1.96093,1.4583,-3.83823,NA,-11.79,NA,NA,NA,NA,NA
52258,2.05318,1.71333,-4.87849,NA,NA,-19.95,NA,NA,NA,NA
52511,1.58834,1.40803,-4.77875,NA,NA,-17.48,NA,NA,NA,NA
52794,1.46448,1.83413,-4.93347,-16.437,NA,NA,NA,NA,NA,NA
53000,2.53598,2.16474,-5,NA,NA,-34.06,NA,NA,NA,NA
53092,2.19058,1.30345,-4.88917,-18.097,NA,NA,NA,NA,NA,NA
53222,1.92755,1.65455,-5,-15.002,NA,NA,NA,NA,NA,NA
53436,2.05753,2.25402,-4.7543,NA,NA,NA,NA,-33.708,NA,NA
53711,2.13648,1.41514,-5,NA,NA,NA,NA,-34.635,NA,NA
53912,2.54545,1.38074,-5,-31.297,NA,NA,NA,NA,NA,NA
54185,2.41567,0.962186,-5,NA,NA,NA,-55.975,NA,NA,NA
54231,2.68332,1.36603,-5,NA,-46.876,NA,NA,NA,NA,NA
54438,1.80021,1.57612,-5,-15.986,NA,NA,NA,NA,NA,NA
54790,2.15936,2.21972,-4.05244,NA,-18.423,NA,NA,NA,NA,NA
54859,2.49388,2.13443,-3.5369,-37.907,NA,NA,NA,NA,NA,NA
55054,1.70996,2.16874,-3.62869,-21.613,NA,NA,NA,NA,NA,NA
55297,0.91002,2.1032,-4.28139,NA,-33.028,NA,NA,NA,NA,NA
55408,1.83974,1.99279,-4.75745,NA,-14.073,NA,NA,NA,NA,NA
55792,1.40613,1.65731,-4.84606,NA,-19.965,NA,NA,NA,NA,NA
55838,0.918186,2.04262,-5,-35.977,NA,NA,NA,NA,NA,NA
56096,1.51351,1.71137,-4.94184,-15.273,NA,NA,NA,NA,NA,NA
56304,2.11793,1.70126,-4.46124,NA,-10.006,NA,NA,NA,NA,NA
56534,2.62502,1.47712,-5,NA,-38.339,NA,NA,NA,NA,NA
56720,2.23081,1.72277,-3.51124,NA,-28.81,NA,NA,NA,NA,NA
56997,2.21598,1.98955,-3.73579,NA,-24.175,NA,NA,NA,NA,NA
57110,1.87989,2.66282,-5,-35.316,NA,NA,NA,NA,NA,NA
57285,2.08886,2.22206,-5,NA,NA,-33.917,NA,NA,NA,NA
57598,2.70072,2.43883,-5,NA,NA,-51.05,NA,NA,NA,NA
57760,2.31015,2.14981,-5,-26.032,NA,NA,NA,NA,NA,NA
57909,1.30087,1.22493,-3.68727,NA,NA,NA,NA,-55.756,NA,NA
58049,1.12977,1.77619,-3.6397,-28.6,NA,NA,NA,NA,NA,NA
58262,0.958891,2.45376,-4.932,-40.971,NA,NA,NA,NA,NA,NA
58579,1.38646,2.26794,-5,NA,NA,-31.773,NA,NA,NA,NA
58791,1.8736,2.78708,-5,NA,-46.016,NA,NA,NA,NA,NA
58993,1.02258,1.97838,-5,-31.282,NA,NA,NA,NA,NA,NA
59043,2.2914,2.81779,-4.78312,NA,-44.027,NA,NA,NA,NA,NA
59368,1.99363,2.134,-4.76305,-14.027,NA,NA,NA,NA,NA,NA
59480,1.5888,1.6342,-4.4508,-2.161,NA,NA,NA,NA,NA,NA
59780,1.38108,1.8873,-4.52632,NA,-14.904,NA,NA,NA,NA,NA
59883,1.31588,1.79107,-5,NA,NA,-23.825,NA,NA,NA,NA
60127,2.82586,2.35333,-3.97163,NA,NA,-45.264,NA,NA,NA,NA
60238,1.86213,1.62352,-5,NA,-18.634,NA,NA,NA,NA,NA
60545,1.53892,2.27235,-5,-23.252,NA,NA,NA,NA,NA,NA
60736,2.02865,1.47717,-4.55613,-5.192,NA,NA,NA,NA,NA,NA
60881,2.30342,1.58377,-5,NA,-22.274,NA,NA,NA,NA,NA
61130,1.90023,2.31543,-5,-23.296,NA,NA,NA,NA,NA,NA
61390,1.61719,2.30209,-5,NA,-25.66,NA,NA,NA,NA,NA
61567,1.33473,1.46761,-4.72925,-13.664,NA,NA,NA,NA,NA,NA
61713,2.01807,1.95681,-5,NA,NA,NA,-33.247,NA,NA,NA
61812,2.19705,2.55186,-4.3196,-25.856,NA,NA,NA,NA,NA,NA
62088,2.46174,1.80379,-4.08479,-17.138,NA,NA,NA,NA,NA,NA
62299,2.32718,2.19191,-3.78403,-24.675,NA,NA,NA,NA,NA,NA
62533,1.73208,2.0438,-4.07019,NA,NA,NA,-27.789,NA,NA,NA
62623,2.80964,1.86852,-4.78198,NA,-36.151,NA,NA,NA,NA,NA
62959,2.25168,1.59939,-4.30728,NA,NA,-11.934,NA,NA,NA,NA
63001,1.33588,1.33375,-5,-25.475,NA,NA,NA,NA,NA,NA
63246,2.37422,2.34073,-4.84805,NA,-33.595,NA,NA,NA,NA,NA
63459,2.47547,2.5646,-4.19101,NA,NA,NA,-50.263,NA,NA,NA
63621,2.98194,2.55175,-3.98383,NA,-60.09,NA,NA,NA,NA,NA
63994,1.74951,1.5828,-4.02825,NA,NA,NA,-22.348,NA,NA,NA
64086,1.83084,1.44806,-5,-16.722,NA,NA,NA,NA,NA,NA
64386,0.961254,2.37099,-4.85684,NA,-41.038,NA,NA,NA,NA,NA
64501,1.37173,2.48671,-5,NA,NA,-39.558,NA,NA,NA,NA
64733,2.14967,1.49089,-5,NA,-19.859,NA,NA,NA,NA,NA
64844,2.28682,0.984977,-4.96475,NA,NA,-45.479,NA,NA,NA,NA
65112,2.78188,1.21003,-4.16503,NA,NA,-40.388,NA,NA,NA,NA
65364,1.23228,0.980249,-4.3209,-33.869,NA,NA,NA,NA,NA,NA
65418,1.38364,2.09101,-4.03378,-12.93,NA,NA,NA,NA,NA,NA
65727,1.20225,1.77227,-4.18929,-11.961,NA,NA,NA,NA,NA,NA
65881,2.30702,0.961589,-3.90541,-32.888,NA,NA,NA,NA,NA,NA
66067,1.96613,2.40041,-5,-26.204,NA,NA,NA,NA,NA,NA
66282,1.33629,2.55142,-5,-35.828,NA,NA,NA,NA,NA,NA
66574,1.03958,2.24721,-4.8114,NA,NA,NA,-41.792,NA,NA,NA
66781,1.6358,0.969968,-5,-38.187,NA,NA,NA,NA,NA,NA
66952,1.78066,2.00876,-5,NA,NA,-26.47,NA,NA,NA,NA
