id,x0,x1,x2,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5
58118,1.79281,1.67137,-4.11037,NA,NA,-2.267,NA,NA
58383,2.09386,1.11779,-3.95955,NA,NA,-17.844,NA,NA
58542,2.24623,1.62017,-4.42449,NA,NA,NA,-9.572,NA
58610,1.97687,1.25176,-4.99572,NA,NA,NA,-23.291,NA
58932,1.21075,1.5779,-4.57334,NA,NA,-13.283,NA,NA
59052,1.10604,1.1623,-4.71547,NA,NA,NA,-36.109,NA
59335,1.50734,1.99886,-3.78669,NA,NA,NA,-16.664,NA
59590,1.44682,1.47803,-4.53645,NA,NA,-6.262,NA,NA
59741,1.43693,1.39,-4.61337,-20.984,NA,NA,NA,NA
59890,1.82007,1.17146,-4.99434,-27.661,NA,NA,NA,NA
60140,1.37065,1.68248,-4.94334,-23.978,NA,NA,NA,NA
60259,1.35581,2.02653,-4.779,NA,NA,-15.886,NA,NA
60490,1.7227,1.88428,-4.80403,NA,NA,-9.348,NA,NA
60638,1.61783,1.86663,-4.88484,NA,NA,-12.213,NA,NA
60929,1.52226,1.96407,-4.04903,-13.809,NA,NA,NA,NA
61173,2.04971,1.7634,-4.5332,NA,NA,NA,-8.111,NA
61362,1.99022,0.990919,-4.32646,NA,NA,-19.474,NA,NA
61445,2.19846,1.54637,-4.03578,NA,NA,-8.758,NA,NA
61726,1.67683,2.08898,-4.11351,NA,NA,NA,-15.571,NA
61980,2.44066,1.64795,-4.87638,NA,NA,-20.832,NA,NA
62187,1.83715,1.91507,-4.5279,NA,NA,-4.557,NA,NA
62388,2.55186,1.0652,-3.93143,NA,NA,-36.701,NA,NA
62489,2.07564,1.68589,-4.73573,NA,NA,-9.586,NA,NA
62758,2.1303,1.72878,-4.68095,NA,NA,NA,-11.313,NA
62816,1.82769,1.33975,-3.59808,NA,NA,-21.076,NA,NA
63133,1.00088,1.84102,-4.56069,NA,NA,-22.58,NA,NA
63336,2.58654,1.92713,-4.46863,NA,NA,NA,NA,-40.776
63583,2.24493,1.51193,-3.99234,NA,NA,-10.762,NA,NA
63716,1.79793,1.49203,-4.15964,NA,NA,-1.373,NA,NA
63883,2.67065,1.91806,-3.9716,-30.774,NA,NA,NA,NA
64057,1.92126,1.8303,-4.5132,NA,NA,NA,NA,-28.789
64209,1.06187,1.51957,-4.52884,NA,NA,-19.898,NA,NA
64596,1.968,1.41639,-3.89018,NA,NA,-9.222,NA,NA
64750,1.66224,1.60122,-4.72242,-11.315,NA,NA,NA,NA
64942,1.59194,1.83488,-3.71382,NA,NA,-13.857,NA,NA
65089,1.18021,2.18152,-4.09954,-31.161,NA,NA,NA,NA
65295,2.13411,1.88672,-4.81926,-16.184,NA,NA,NA,NA
65499,2.04268,1.81344,-4.76008,NA,NA,-9.69,NA,NA
65609,1.60232,2.13293,-4.06091,NA,NA,NA,-17.41,NA
65868,1.52226,2.11074,-3.70569,-25.942,NA,NA,NA,NA
66192,2.1343,2.10397,-3.5234,NA,NA,-27.413,NA,NA
66225,2.27344,2.1535,-4.72343,NA,NA,-18.262,NA,NA
66570,1.61498,2.49132,-4.03123,-23.889,NA,NA,NA,NA
66608,2.23534,1.58498,-4.57485,NA,NA,-10.164,NA,NA
66986,1.48481,1.43985,-4.34849,NA,NA,-5.757,NA,NA
67186,1.78972,1.65634,-4.12977,NA,NA,NA,-4.659,NA
67216,1.84505,1.69028,-4.83458,-13.577,NA,NA,NA,NA
67574,2.15493,1.57059,-4.51753,NA,-21.47,NA,NA,NA
67753,2.05716,1.46308,-4.82661,-26.264,NA,NA,NA,NA
67918,2.19736,2.30973,-4.30991,NA,NA,NA,-18.501,NA
68119,1.95043,1.23957,-3.94759,NA,NA,-11.613,NA,NA
68248,1.60042,1.90512,-4.61084,NA,NA,NA,NA,-23.807
68455,2.40801,1.68399,-4.84765,NA,NA,-19.275,NA,NA
68796,2.08547,1.82993,-4.21183,NA,NA,-6.228,NA,NA
68917,2.35076,1.49883,-4.52183,NA,NA,NA,-21.543,NA
69003,1.2307,2.17143,-4.82016,NA,NA,NA,-30.108,NA
69388,1.59008,1.39382,-4.25563,NA,NA,-3.973,NA,NA
69514,1.34118,2.20377,-4.35746,NA,NA,NA,-18.15,NA
69701,1.4412,1.83913,-4.59848,NA,NA,NA,-20.848,NA
69966,1.43489,2.29208,-4.71918,NA,NA,-18.938,NA,NA
70094,1.56433,1.50067,-4.64434,NA,NA,-5.917,NA,NA
70339,0.908488,2.45402,-4.36855,NA,NA,-35.181,NA,NA
70564,1.38201,1.53974,-4.63706,NA,NA,-9.817,NA,NA
70681,1.65328,2.37376,-4.78062,NA,NA,-20.902,NA,NA
70981,1.38963,2.6899,-4.29964,NA,NA,-30.606,NA,NA
71188,1.5931,1.9633,-4.583,NA,NA,NA,NA,-22.216
