id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness7,fitness9,fitness6.5,fitness9.5
65477,7.68294,8.19046,7.58418,NA,NA,NA,0.899,NA,NA,NA
65728,7.54299,8.54086,7.7165,NA,NA,0.847,NA,NA,NA,NA
65964,7.79284,7.15148,7.42107,NA,NA,NA,0.805,NA,NA,NA
66038,8.31428,7.50261,7.18854,NA,0.864,NA,NA,NA,NA,NA
66295,7.84868,7.27916,8.23798,NA,0.874,NA,NA,NA,NA,NA
66578,7.94181,7.33348,7.53188,NA,0.911,NA,NA,NA,NA,NA
66635,7.9558,7.11635,7.33783,NA,NA,0.878,NA,NA,NA,NA
66915,7.66197,7.38453,7.84522,NA,NA,0.96,NA,NA,NA,NA
67013,7.70483,7.80765,7.61935,NA,NA,NA,0.875,NA,NA,NA
67277,7.41667,7.11804,7.76467,NA,NA,0.885,NA,NA,NA,NA
67429,7.61124,8.00643,8.43776,NA,NA,NA,0.802,NA,NA,NA
67655,8.21633,7.78224,7.88124,NA,NA,NA,0.882,NA,NA,NA
67869,7.70426,7.71162,8.29553,NA,NA,0.933,NA,NA,NA,NA
68137,7.52664,8.08804,7.72301,NA,NA,0.923,NA,NA,NA,NA
68282,8.16834,7.71956,7.31248,NA,0.918,NA,NA,NA,NA,NA
